code,pop,name,perc,logperc
48237,8983,"Jack County, TX",2.8616114143859256e-05,-10.461540567202986
48239,14255,"Jackson County, TX",4.54105206635549e-05,-9.99976674708542
48241,35923,"Jasper County, TX",0.00011443578630634042,-9.075496710572612
48243,2307,"Jeff Davis County, TX",7.349145645094434e-06,-11.82092649025844
48245,251813,"Jefferson County, TX",0.0008021718302246054,-7.128187720896093
48247,5249,"Jim Hogg County, TX",1.6721138054226564e-05,-10.998836887179893
48249,41754,"Jim Wells County, TX",0.00013301093509548027,-8.925079214359288
48251,153441,"Johnson County, TX",0.0004887994178278869,-7.623558341130742
48253,19973,"Jones County, TX",6.36256982962597e-05,-9.662493107967022
48255,15233,"Karnes County, TX",4.8526023238718474e-05,-9.933410342295492
48257,106753,"Kaufman County, TX",0.00034007080409656097,-7.986356714691708
48259,35956,"Kendall County, TX",0.00011454091062636127,-9.074578500738903
48261,431,"Kenedy County, TX",1.3729873311814915e-06,-13.498521658328444
48263,839,"Kent County, TX",2.6727061968939013e-06,-12.832419041964988
48265,49786,"Kerr County, TX",0.00015859755747146576,-8.74914064944034
48267,4560,"Kimble County, TX",1.4526269675609285e-05,-11.139551845923762
48269,276,"King County, TX",8.79221585628983e-07,-13.944228882715043
48271,3603,"Kinney County, TX",1.1477664395004442e-05,-11.3751076376841
48273,32025,"Kleberg County, TX",0.00010201837420205863,-9.190357621667259
48275,3789,"Knox County, TX",1.2070183289667452e-05,-11.324772337413592
48277,49811,"Lamar County, TX",0.00015867719710784518,-8.748638626276488
48279,14008,"Lamb County, TX",4.462368105612606e-05,-10.017245874466505
48281,20107,"Lampasas County, TX",6.405256674725349e-05,-9.655806456306546
48283,7109,"La Salle County, TX",2.2646327000856666e-05,-10.69551288250271
48285,19468,"Lavaca County, TX",6.201697764139508e-05,-9.688102377478849
48287,16601,"Lee County, TX",5.2883904141401256e-05,-9.847411534938116
48289,16803,"Leon County, TX",5.3527392403347105e-05,-9.83531702755425
48291,76571,"Liberty County, TX",0.00024392346388839442,-8.318656054465157
48293,23585,"Limestone County, TX",7.513203296036074e-05,-9.496263552713831
48295,3480,"Lipscomb County, TX",1.1085837384017612e-05,-11.409842175663673
48297,11664,"Live Oak County, TX",3.7156668749190066e-05,-10.200367294183753
48299,19085,"Llano County, TX",6.07968984120621e-05,-9.707971783252862
48301,71,"Loving County, TX",2.261765673176007e-07,-15.301949871390878
48303,285760,"Lubbock County, TX",0.0009103128996715152,-7.001722171761922
48305,5783,"Lynn County, TX",1.8422240687291336e-05,-10.901951890273974
48307,8313,"McCulloch County, TX",2.6481771888890346e-05,-10.539053914901105
48309,238707,"McLennan County, TX",0.0007604215472490494,-7.18163761102206
48311,726,"McMullen County, TX",2.3127350404588466e-06,-12.977079733607397
48313,13677,"Madison County, TX",4.356925227046232e-05,-10.041158879550641
48315,10324,"Marion County, TX",3.2887984239252246e-05,-10.32240318759369
48317,5017,"Martin County, TX",1.5982082228625392e-05,-11.04404232394794
48319,4003,"Mason County, TX",1.2751898577075431e-05,-11.269830389439619
48321,36547,"Matagorda County, TX",0.00011642359163037117,-9.058275365966328
48323,55365,"Maverick County, TX",0.0001763699387259009,-8.642926844299984
48325,46765,"Medina County, TX",0.00014897390381137462,-8.811739409563542
48327,2240,"Menard County, TX",7.135711419597543e-06,-11.850398603583107
48329,146645,"Midland County, TX",0.0004671501790745008,-7.668859769391334
48331,24157,"Milam County, TX",7.695418784072226e-05,-9.472300276278876
48333,4828,"Mills County, TX",1.5380006577596847e-05,-11.08244216621477
48335,9336,"Mitchell County, TX",2.9740625809536902e-05,-10.4229965744658
48337,19565,"Montague County, TX",6.23259794305473e-05,-9.68313221378768
48339,485047,"Montgomery County, TX",0.0015451586682774686,-6.472628675991279
48341,22313,"Moore County, TX",7.1079968261375e-05,-9.55170500119769
48343,12787,"Morris County, TX",4.073408121535437e-05,-10.108445439621025
48345,1202,"Motley County, TX",3.829073717123324e-06,-12.47288763333704
48347,66034,"Nacogdoches County, TX",0.00021035694994718935,-8.466704708553468
48349,47979,"Navarro County, TX",0.00015284120455396006,-8.786111054273213
48351,14200,"Newton County, TX",4.523531346352014e-05,-10.003632504842841
48353,14924,"Nolan County, TX",4.754167733306863e-05,-9.953903814091145
48355,347691,"Nueces County, TX",0.0011075993924961113,-6.805560315154335
48357,10728,"Ochiltree County, TX",3.417496076314395e-05,-10.284017323470678
48359,2060,"Oldham County, TX",6.562306037665598e-06,-11.934168486648566
48361,82977,"Orange County, TX",0.00026433032431426133,-8.238311008488829
48363,27856,"Palo Pinto County, TX",8.873766843942374e-05,-9.329826086424223
48365,24020,"Panola County, TX",7.651776263336294e-05,-9.477987652798218
48367,119712,"Parker County, TX",0.00038135280601020585,-7.87178561128432
48369,10183,"Parmer County, TX",3.243881669007222e-05,-10.336154806260527
48371,15619,"Pecos County, TX",4.975565922441698e-05,-9.90838634757447
48373,45656,"Polk County, TX",0.00014544108954158279,-8.835739436215649
48375,122335,"Potter County, TX",0.0003897085966591364,-7.850111286178199
48377,7525,"Presidio County, TX",2.3971530550210496e-05,-10.638643658815116
48379,10943,"Rains County, TX",3.4859861636007104e-05,-10.26417448701375
48381,125082,"Randall County, TX",0.0003984593999045089,-7.827904947221701
48383,3475,"Reagan County, TX",1.1069909456741724e-05,-11.4112799904333
48385,3369,"Real County, TX",1.0732237398492913e-05,-11.44225850502564
48387,12694,"Red River County, TX",4.0437821768022864e-05,-10.115745028565778
48389,13798,"Reeves County, TX",4.39547081105388e-05,-10.032350815326138
48391,7259,"Refugio County, TX",2.3124164819133287e-05,-10.674632391147352
48393,854,"Roberts County, TX",2.7204899787215635e-06,-12.814698554643623
48395,16545,"Robertson County, TX",5.270551135591132e-05,-9.85079052807648
48397,83021,"Rockwall County, TX",0.00026447049007428914,-8.237780881607415
48399,10449,"Runnels County, TX",3.3286182421149434e-05,-10.310368189398082
48401,54026,"Rusk County, TX",0.00017210443980141826,-8.667409057279315
48403,10433,"Sabine County, TX",3.323521305386659e-05,-10.311900609964225
48405,8818,"San Augustine County, TX",2.8090492543754972e-05,-10.48007938251431
48407,27126,"San Jacinto County, TX",8.641219105714418e-05,-9.356381791909532
48409,65600,"San Patricio County, TX",0.00020897440585964234,-8.473298773500012
48411,6002,"San Saba County, TX",1.9119883901975204e-05,-10.86478172243188
48413,3264,"Schleicher County, TX",1.0397750925699278e-05,-11.473921032348196
48415,17126,"Scurry County, TX",5.455633650536943e-05,-9.816276692846056
48417,3356,"Shackelford County, TX",1.0690824787575605e-05,-11.446124680845097
48419,26019,"Shelby County, TX",8.288574795826271e-05,-9.398047429079627
48421,3073,"Sherman County, TX",9.78930410376038e-06,-11.534220186301708
48423,214821,"Smith County, TX",0.0006843306530666803,-7.28706934623094
48425,8598,"Somervell County, TX",2.738966374361593e-05,-10.505344851375966
48427,61615,"Starr County, TX",0.0001962798478207601,-8.535969122059969
48429,9464,"Stephens County, TX",3.0148380747799622e-05,-10.40937934277397
48431,1191,"Sterling County, TX",3.7940322771163723e-06,-12.482081179076893
48433,1475,"Stonewall County, TX",4.698738546386775e-06,-12.268216479658273
48435,3950,"Sutton County, TX",1.2583062547951025e-05,-11.283158890537026
48437,7891,"Swisher County, TX",2.5137454826805453e-05,-10.591151599911157
48439,1880153,"Tarrant County, TX",0.005989388050308295,-5.117766033958753
48441,133473,"Taylor County, TX",0.0004251896474589031,-7.762975259255484
48443,917,"Terrell County, TX",2.9211818623977444e-06,-12.743522276175728
48445,12613,"Terry County, TX",4.0179789346153486e-05,-10.122146441345
48447,1601,"Throckmorton County, TX",5.100122313739137e-06,-12.18624603543548
48449,32663,"Titus County, TX",0.00010405077772246185,-9.170631530645483
48451,113281,"Tom Green County, TX",0.0003608663059479595,-7.927003011859994
48453,1095584,"Travis County, TX",0.0034900764553251586,-5.657831636037796
48455,14309,"Trinity County, TX",4.5582542278134484e-05,-9.995985759525459
48457,21458,"Tyler County, TX",6.835629269719825e-05,-9.590776933235501
48459,39995,"Upshur County, TX",0.0001274074902798231,-8.96812002314927
48461,3283,"Upton County, TX",1.045827704934765e-05,-11.468116830930601
48463,26752,"Uvalde County, TX",8.52207820969078e-05,-9.370265232547766
48465,48705,"Val Verde County, TX",0.0001551539395944189,-8.771092775227137
